timestamp, memory.used [MiB], utilization.gpu [%]
2026/02/02 01:35:52.195, 40638 MiB, 48 %
2026/02/02 01:36:07.195, 40638 MiB, 56 %
2026/02/02 01:36:22.196, 40638 MiB, 31 %
2026/02/02 01:36:37.197, 40638 MiB, 64 %
2026/02/02 01:36:52.198, 40638 MiB, 60 %
2026/02/02 01:37:07.198, 40638 MiB, 90 %
2026/02/02 01:37:22.199, 40638 MiB, 53 %
2026/02/02 01:37:37.200, 40668 MiB, 85 %
2026/02/02 01:37:52.201, 40668 MiB, 78 %
2026/02/02 01:38:07.201, 37074 MiB, 72 %
2026/02/02 01:38:22.201, 37394 MiB, 85 %
2026/02/02 01:38:37.202, 35674 MiB, 0 %
2026/02/02 01:38:52.202, 35674 MiB, 0 %
2026/02/02 01:39:07.202, 36014 MiB, 6 %
2026/02/02 01:39:22.203, 35674 MiB, 0 %
2026/02/02 01:39:37.203, 35674 MiB, 0 %
2026/02/02 01:39:52.204, 22058 MiB, 0 %
2026/02/02 01:40:07.204, 22058 MiB, 0 %
2026/02/02 01:40:22.205, 22058 MiB, 0 %
2026/02/02 01:40:37.206, 22058 MiB, 0 %
2026/02/02 01:40:52.207, 22058 MiB, 0 %
2026/02/02 01:41:07.208, 22058 MiB, 0 %
2026/02/02 01:41:22.209, 22058 MiB, 0 %
2026/02/02 01:41:37.209, 22058 MiB, 0 %
2026/02/02 01:41:52.209, 22058 MiB, 0 %
2026/02/02 01:42:07.209, 22058 MiB, 0 %
2026/02/02 01:42:22.210, 22058 MiB, 0 %
2026/02/02 01:42:37.211, 22058 MiB, 0 %
2026/02/02 01:42:52.211, 22058 MiB, 0 %
2026/02/02 01:43:07.212, 22058 MiB, 0 %
2026/02/02 01:43:22.214, 22058 MiB, 0 %
2026/02/02 01:43:37.215, 22058 MiB, 0 %
2026/02/02 01:43:52.216, 22058 MiB, 0 %
2026/02/02 01:44:07.216, 22058 MiB, 0 %
2026/02/02 01:44:22.218, 22058 MiB, 0 %
2026/02/02 01:44:37.219, 22058 MiB, 0 %
2026/02/02 01:44:52.219, 22058 MiB, 0 %
